1st_innings,Result
222,Y
240,Y
125,N
165,N
110,N
166,N
142,N
208,Y
214,N
182,Y
135,N
147,N
154,N
158,N
178,Y
137,N
191,Y
164,N
196,Y
169,N
165,N
178,Y
162,Y
109,Y
126,N
144,N
103,N
187,N
129,Y
140,N
122,N
181,Y
198,Y
156,N
143,N
133,Y
156,N
221,Y
194,Y
67,N
118,Y
197,Y
177,Y
149,Y
154,N
147,N
189,Y
126,Y
175,N
176,N
211,Y
156,Y
174,N
145,N
147,N
192,Y
112,N
163,N
165,Y
133,Y
104,Y
101,N
179,Y
158,Y
184,Y
189,Y
150,Y
168,N
168,Y
149,N
139,Y
165,N
187,Y
143,N
139,N
119,Y
148,N
164,Y
148,Y
145,Y
141,N
163,Y
153,N
149,N
178,Y
211,Y
154,N
145,Y
105,N
185,Y
116,N
168,N
140,N
157,Y
123,N
166,Y
173,N
119,N
173,Y
129,N
145,Y
120,Y
147,N
160,N
134,Y
150,Y
188,N
134,N
101,N
116,Y
165,N
170,Y
153,N
146,N
143,Y
161,Y
212,Y
142,N
135,N
190,Y
141,N
203,N
164,Y
218,Y
92,N
185,N
170,Y
168,Y
151,N
171,Y
136,Y
155,N
171,Y
183,Y
180,N
148,N
183,Y
183,Y
177,Y
172,Y
177,Y
163,N
161,N
188,Y
181,Y
181,N
246,Y
178,Y
200,N
184,Y
159,Y
165,Y
153,N
181,Y
184,N
154,N
138,N
160,N
111,N
174,Y
151,Y
182,Y
139,N
130,N
112,N
174,N
191,Y
132,N
192,N
145,Y
133,N
184,Y
142,Y
82,N
168,Y
153,Y
137,N
161,N
95,N
112,N
163,Y
151,N
140,N
188,N
148,N
175,Y
159,N
182,N
183,Y
165,N
187,N
81,N
131,N
168,Y
118,N
132,Y
195,Y
164,Y
171,N
231,Y
172,Y
109,Y
142,Y
160,N
141,N
129,Y
148,Y
94,N
181,Y
157,Y
119,N
143,N
165,Y
159,Y
140,N
169,Y
147,N
160,Y
156,Y
175,N
205,Y
114,Y
178,Y
125,N
119,N
196,Y
136,N
163,Y
146,N
176,Y
178,N
89,N
135,Y
166,Y
97,N
136,N
232,Y
152,Y
118,N
133,N
198,Y
56,Y
128,N
175,N
175,N
147,N
185,Y
205,Y
112,N
97,N
121,Y
172,Y
151,Y
182,Y
161,Y
154,Y
133,N
159,Y
104,N
191,Y
189,N
103,N
121,N
151,N
149,N
127,Y
189,Y
83,Y
183,N
175,N
121,N
185,Y
162,Y
155,N
132,N
177,Y
156,N
123,Y
170,Y
141,Y
158,N
166,Y
198,Y
151,Y
185,Y
144,N
95,Y
133,Y
175,Y
136,Y
152,N
109,N
152,Y
131,N
171,Y
164,N
175,N
139,Y
115,N
163,Y
134,N
114,Y
164,Y
177,Y
107,N
167,Y
181,N
151,N
155,Y
132,N
126,Y
116,N
211,Y
119,Y
133,N
129,Y
122,Y
148,Y
158,Y
182,Y
216,Y
183,N
123,Y
140,N
123,Y
156,Y
139,Y
96,N
122,Y
135,Y
199,Y
130,N
148,Y
138,N
107,N
180,Y
157,N
172,Y
114,N
151,Y
151,Y
147,N
114,Y
164,Y
160,Y
116,N
115,N
117,Y
154,N
177,N
185,N
263,Y
171,Y
159,N
159,N
149,N
144,N
194,Y
200,Y
164,Y
171,N
174,Y
164,Y
129,N
136,N
186,Y
187,Y
132,N
80,N
174,N
139,Y
178,N
161,N
154,N
170,Y
223,Y
145,N
152,Y
183,Y
112,N
150,Y
115,N
141,N
120,N
178,N
170,Y
168,Y
166,Y
190,N
136,Y
183,Y
172,Y
106,Y
130,N
192,Y
132,N
165,N
148,Y
163,Y
145,N
205,N
133,N
115,N
166,N
191,N
177,Y
193,Y
140,Y
150,Y
184,Y
141,N
70,N
132,Y
125,Y
145,N
124,N
152,Y
172,Y
148,Y
168,N
152,N
155,N
170,Y
178,N
187,Y
160,N
231,Y
134,Y
198,Y
143,Y
157,N
149,N
190,N
157,N
148,N
186,Y
205,N
141,N
201,Y
138,N
142,N
178,Y
164,N
160,N
154,N
156,N
195,Y
185,N
173,Y
179,Y
154,N
160,N
115,N
189,N
163,Y
173,N
226,Y
199,N
168,N
150,Y
162,Y
209,Y
177,N
184,N
177,Y
166,N
164,N
165,N
165,N
127,N
183,N
167,Y
155,N
156,N
209,Y
146,N
191,Y
176,Y
181,Y
190,Y
130,N
157,Y
192,Y
95,N
150,Y
171,Y
200,Y
134,Y
118,N
187,Y
111,N
192,Y
172,Y
189,Y
148,Y
167,Y
152,N
226,Y
201,Y
158,N
183,N
163,Y
235,Y
157,Y
185,Y
119,N
106,Y
171,Y
135,Y
130,N
199,Y
187,Y
113,N
187,Y
180,Y
139,N
202,Y
121,N
98,N
161,N
227,Y
187,N
163,N
111,N
142,N
143,N
152,N
191,N
142,N
138,N
170,N
135,N
185,Y
164,Y
143,N
180,N
160,N
189,Y
118,Y
172,Y
174,N
195,N
186,Y
194,Y
154,Y
159,N
185,N
149,N
164,Y
162,N
126,N
191,N
181,Y
177,Y
158,N
175,Y
137,Y
151,N
146,N
124,N
244,Y
103,Y
179,N
206,Y
183,N
121,Y
211,Y
124,N
158,N
172,N
172,N
171,Y
138,N
158,N
162,Y
162,N
208,Y